SEQ_NO,FINAN_YEAR,ADMNSTMACH_CD,ADMNSTMACH_NM,TOT_ANEXPTR_BUDGET_PRICE,BEFORE_YEAR_ANEXPTR_BUDGET_PRICE,ANEXPTR_BUDGET_IRDS_RT,CLTUR_TURSM_BUDGET_PRICE,BEFORE_YEAR_CLTUR_TURSM_BUDGET_PRICE,CLTUR_TURSM_BUDGET_IRDS_RT,CLTUR_TURSM_BUDGET_RATE,TOT_POPLTN_CO,ONE_PSNBY_CLTUR_TURSM_BUDGET_PRICE
48,2016,2720000000,대구광역시 남구,267069219000,241220941000,10.72,0,38000000,-100,0,156433,0
49,2016,2723000000,대구광역시 북구,468073081000,445874326000,4.98,50462000,43230000,16.73,0.01,440383,115
50,2016,2726000000,대구광역시 수성구,467918316000,426697481000,9.66,95220000,68996000,38.01,0.02,447011,213
51,2016,2729000000,대구광역시 달서구,600201172000,547284946000,9.67,906950000,28302000,3104.54,0.15,591891,1532
52,2016,2771000000,대구광역시 달성군,550313676000,486394903000,13.14,1663594000,771099000,115.74,0.3,218268,7622
53,2016,2800000000,인천광역시,8531672102000,8051910458000,5.96,7869613000,7110598000,10.67,0.09,2943069,2674
54,2016,2811000000,인천광역시 중구,295745003000,267839076000,10.42,143810000,542740000,-73.5,0.05,115249,1248
55,2016,2814000000,인천광역시 동구,178867322000,196728879000,-9.08,335823000,120513000,178.66,0.19,71014,4729
56,2016,2817700000,인천광역시 미추홀구,491299691000,456803959000,7.55,110090000,102640000,7.26,0.02,417103,264
57,2016,2818500000,인천광역시 연수구,391371428000,340871714000,14.81,215706000,351045000,-38.55,0.06,328627,656
58,2016,2820000000,인천광역시 남동구,580237788000,549369065000,5.62,46319000,35640000,29.96,0.01,530982,87
59,2016,2823700000,인천광역시 부평구,594472517000,565102625000,5.2,160181000,166460000,-3.77,0.03,549716,291
60,2016,2824500000,인천광역시 계양구,358403148000,337156084000,6.3,0,0,,0,330284,0
61,2016,2826000000,인천광역시 서구,548571570000,503902107000,8.86,252020000,254969000,-1.16,0.05,510733,493
62,2016,2871000000,인천광역시 강화군,372055831000,362447066000,2.65,4375199000,4338331000,0.85,1.18,68010,64332
63,2016,2872000000,인천광역시 옹진군,283534721000,270890885000,4.67,74700000,660300000,-88.69,0.03,21351,3499
64,2016,2900000000,광주광역시,4163972594000,3933062429000,5.87,12385261000,8178229000,51.44,0.3,1469214,8430
65,2016,2911000000,광주광역시 동구,242707550000,216526574000,12.09,1516200000,292000000,419.25,0.62,95791,15828
66,2016,2914000000,광주광역시 서구,366091513000,348645550000,5,93626000,0,,0.03,309579,302
67,2016,2915500000,광주광역시 남구,280363284000,277305912000,1.1,58250000,41720000,39.62,0.02,219729,265
68,2016,2917000000,광주광역시 북구,504290632000,481657600000,4.7,617982000,95531000,546.89,0.12,441066,1401
69,2016,2920000000,광주광역시 광산구,499802478000,463822127000,7.76,98528000,409000000,-75.91,0.02,403049,244
70,2016,3000000000,대전광역시,4312802052000,4108244837000,4.98,2762162000,2617765000,5.52,0.06,1514370,1824
71,2016,3011000000,대전광역시 동구,358203415000,334114164000,7.21,84493000,171960000,-50.86,0.02,234959,360
72,2016,3014000000,대전광역시 중구,331813679000,308624620000,7.51,0,0,,0,252490,0
73,2016,3017000000,대전광역시 서구,503856598000,470121200000,7.18,163571000,151280000,8.12,0.03,491011,333
74,2016,3020000000,대전광역시 유성구,403205119000,390931568000,3.14,100305000,129600000,-22.6,0.02,343222,292
75,2016,3023000000,대전광역시 대덕구,294704601000,280234420000,5.16,466430000,87360000,433.92,0.16,192688,2421
76,2016,3100000000,울산광역시,3397293393000,3090833905000,9.92,5323460000,4332355000,22.88,0.16,1172304,4541
77,2016,3111000000,울산광역시 중구,279345754000,254355912000,9.82,2311700000,2246935000,2.88,0.83,242536,9531
78,2016,3114000000,울산광역시 남구,379854400000,365992759000,3.79,0,0,,0,340714,0
79,2016,3117000000,울산광역시 동구,217657287000,196792903000,10.6,35920000,32000000,12.25,0.02,174514,206
80,2016,3120000000,울산광역시 북구,252306369000,228750652000,10.3,249240000,60000000,315.4,0.1,195285,1276
81,2016,3171000000,울산광역시 울주군,730312953000,617698625000,18.23,4814060000,4555900000,5.67,0.66,219255,21956
82,2016,3600000000,세종특별자치시,1194522501000,967609435000,23.45,1279812000,410315000,211.91,0.11,243048,5266
83,2016,4100000000,경기도,20818802530000,19271679079000,8.03,34509025000,39095847000,-11.73,0.17,12716780,2714
84,2016,4111000000,경기도 수원시,2358084034000,2087808238000,12.95,10427650000,9413109000,10.78,0.44,1194041,8733
85,2016,4113000000,경기도 성남시,2572987213000,2656345953000,-3.14,1755174000,724923000,142.12,0.07,974580,1801
86,2016,4115000000,경기도 의정부시,839459353000,796251469000,5.43,261250000,150996000,73.02,0.03,438457,596
87,2016,4117000000,경기도 안양시,1107497832000,1020020497000,8.58,793039000,672801000,17.87,0.07,597414,1327
88,2016,4119000000,경기도 부천시,1613976592000,1244988967000,29.64,2834475000,1610294000,76.02,0.18,851380,3329
89,2016,4121000000,경기도 광명시,683714491000,613349151000,11.47,118076000,118057000,0.02,0.02,339484,348
90,2016,4122000000,경기도 평택시,1235144905000,1052317118000,17.37,1062922000,222568000,377.57,0.09,470832,2258
91,2016,4125000000,경기도 동두천시,350126130000,302410038000,15.78,200888000,196271000,2.35,0.06,98277,2044
92,2016,4127000000,경기도 안산시,1622861941000,1529357318000,6.11,1349644000,797972000,69.13,0.08,689859,1956
93,2016,4128000000,경기도 고양시,1556056500000,1515366090000,2.69,2450047000,3320756000,-26.22,0.16,1039684,2357
94,2016,4129000000,경기도 과천시,289797445000,318303121000,-8.96,262319000,169815000,54.47,0.09,63778,4113
95,2016,4131000000,경기도 구리시,454864857000,433932568000,4.82,285606000,211895000,34.79,0.06,193763,1474
96,2016,4136000000,경기도 남양주시,1149454417000,1049419467000,9.53,1363977000,1415006000,-3.61,0.12,662154,2060
97,2016,4137000000,경기도 오산시,433977053000,397253971000,9.24,548530000,275555000,99.06,0.13,208656,2629
98,2016,4139000000,경기도 시흥시,1480128676000,1292627702000,14.51,621357000,496589000,25.13,0.04,402888,1542
99,2016,4141000000,경기도 군포시,651373750000,619212944000,5.19,294511000,341374000,-13.73,0.05,284890,1034
100,2016,4143000000,경기도 의왕시,320942999000,307330029000,4.43,1006119000,115662000,769.88,0.31,156763,6418
101,2016,4145000000,경기도 하남시,462652317000,459532720000,0.68,40121000,1131154000,-96.45,0.01,211101,190
102,2016,4146000000,경기도 용인시,1945120235000,1730497464000,12.4,1514202000,1651030000,-8.29,0.08,991126,1528
103,2016,4148000000,경기도 파주시,882137924000,804328970000,9.67,408211000,785922000,-48.06,0.05,430781,948
104,2016,4150000000,경기도 이천시,612261074000,588574471000,4.02,289700000,670500000,-56.79,0.05,210359,1377
105,2016,4155000000,경기도 안성시,587106102000,583343553000,0.64,1329751000,1699109000,-21.74,0.23,182896,7271
106,2016,4157000000,경기도 김포시,1155051471000,1015126785000,13.78,2491355000,1844751000,35.05,0.22,363443,6855
107,2016,4159000000,경기도 화성시,1926140430000,1477070593000,30.4,2436466000,5462793000,-55.4,0.13,640890,3802
