"fclty_id","fclty_nm","area_addr","ctprvn_cd","ctprvn_nm","signgu_cd","signgu_nm","adstrd_cd","adstrd_nm","fclty_la","fclty_lo"
"KP0325","공간Art홀","대전광역시 유성구 대덕대로577번길 37","25","대전광역시","25040","유성구","2504055","신성동","36.3843912","127.376845"
"KP0326","고흥문화회관","전라남도 고흥군 고흥읍 고흥로 1892-67","36","전라남도","36350","고흥군","3635011","고흥읍","34.6126714","127.2974568"
"KP0327","광화문광장","서울 종로구 세종로 1-68","11","서울특별시","11010","종로구","1101072","청운효자동","37.5724334","126.976902"
"KP0328","광주동구문화센터","광주광역시 동구 남문로 646 (소태동) ","24","광주광역시","24010","동구","2401072","지원1동","35.128599","126.9309327"
"KP0329","광주 민들레소극장","광주광역시 동구 동계천로 111 (동명동)","24","광주광역시","24010","동구","2401054","동명동","35.1508601","126.9227426"
"KP0330","광주시민회관","광주광역시 남구 중앙로107번길 15 (구동)","24","광주광역시","24030","남구","2403054","사직동","35.147232","126.909375"
"KP0331","광화문아트홀","서울특별시 종로구 인왕산로1길 21 (사직동)","11","서울특별시","11010","종로구","1101053","사직동","37.5742986","126.9646592"
"KP0332","광주염주실내체육관","광주광역시 서구 금화로 278 (풍암동)","24","광주광역시","24020","서구","2402067","풍암동","35.136615","126.879168"
"KP0333","광주콘텐츠산업지원센터","광주광역시 남구 사직길 17 (사동) ","24","광주광역시","24030","남구","2403054","사직동","35.1426311","126.9148977"
"KP0334","광주서구문화센터","광주광역시 서구 마재로 3 (금호동)","24","광주광역시","24020","서구","2402068","금호1동","35.1308296","126.8603244"
"KP0335","광주월드컵경기장","광주광역시 서구 금화로 240 (풍암동) ","24","광주광역시","24020","서구","2402067","풍암동","35.1337232","126.8748916"
"KP0336","광주광역시 청소년수련원","광주광역시 서구 학생독립로 37 (화정동)","24","광주광역시","24020","서구","2402060","화정1동","35.1412571","126.867425"
"KP0337","광주공연마루","광주광역시 서구 상무시민로 3 (치평동) ","24","광주광역시","24020","서구","2402057","유덕동","35.1557938","126.8397332"
