RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,ALL_TURSM_TOUR_EXPNDTR_INTEN_VALUE,DMSTC_TURSM_TOUR_EXPNDTR_INTEN_VALUE,OVSEA_TURSM_TOUR_EXPNDTR_INTEN_VALUE
53359568,20230227,M,40대,경기도,300이상500만원 미만,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53359638,20230227,M,20대,경기도,모름,비슷하게,약간 더 많이,비슷하게
53359718,20230227,F,30대,전라남도,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53359865,20230227,M,30대,인천광역시,300이상500만원 미만,약간 더 많이,훨씬 더 많이,비슷하게
53359967,20230227,M,20대,강원도,300이상500만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53360066,20230227,M,20대,경기도,모름,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53360071,20230227,F,20대,경기도,700만원 이상,훨씬 더 많이,약간 더 많이,훨씬 더 많이
53360226,20230227,F,30대,전라북도,500이상700만원 미만,약간 더 많이,약간 더 많이,약간 더 많이
53360253,20230227,F,60대,경상남도,300이상500만원 미만,비슷하게,약간 더 적게,비슷하게
53360308,20230227,F,40대,경상남도,700만원 이상,약간 더 많이,약간 더 많이,훨씬 더 많이
53360566,20230227,F,40대,울산광역시,300만원 미만,비슷하게,훨씬 더 적게,훨씬 더 적게
53360687,20230227,M,20대,광주광역시,300만원 미만,약간 더 많이,비슷하게,약간 더 많이
53360781,20230227,F,50대,전라북도,500이상700만원 미만,약간 더 많이,비슷하게,약간 더 많이
53360987,20230227,F,20대,경기도,700만원 이상,약간 더 많이,약간 더 많이,훨씬 더 많이
53361103,20230227,F,60대,충청남도(세종시 포함),300이상500만원 미만,약간 더 많이,비슷하게,약간 더 많이
53361153,20230227,F,50대,대구광역시,500이상700만원 미만,약간 더 많이,비슷하게,비슷하게
53361182,20230227,F,60대,충청북도,300이상500만원 미만,약간 더 많이,약간 더 많이,약간 더 적게
53361441,20230227,F,30대,충청남도(세종시 포함),500이상700만원 미만,약간 더 많이,약간 더 많이,비슷하게
53361991,20230227,M,60대,경상남도,500이상700만원 미만,약간 더 많이,비슷하게,약간 더 많이
53362203,20230227,M,40대,부산광역시,300이상500만원 미만,약간 더 적게,약간 더 적게,약간 더 적게
53362312,20230227,F,20대,경기도,700만원 이상,약간 더 적게,약간 더 많이,약간 더 많이
53362329,20230227,M,40대,경상남도,700만원 이상,약간 더 많이,비슷하게,훨씬 더 많이
53362370,20230227,F,30대,부산광역시,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53362599,20230227,M,40대,경상남도,700만원 이상,약간 더 적게,비슷하게,약간 더 많이
53362692,20230227,F,40대,대구광역시,300만원 미만,훨씬 더 적게,약간 더 많이,약간 더 많이
53362785,20230227,M,40대,부산광역시,500이상700만원 미만,약간 더 많이,비슷하게,약간 더 많이
53363014,20230227,M,60대,경상남도,300이상500만원 미만,비슷하게,비슷하게,비슷하게
53363571,20230227,M,50대,경기도,700만원 이상,훨씬 더 많이,약간 더 많이,훨씬 더 많이
53363669,20230227,F,50대,경상남도,700만원 이상,약간 더 많이,약간 더 많이,비슷하게
53363776,20230227,F,40대,인천광역시,700만원 이상,약간 더 많이,훨씬 더 많이,훨씬 더 많이
53363798,20230227,M,20대,경기도,모름,비슷하게,비슷하게,비슷하게
53363919,20230227,F,60대,경기도,300만원 미만,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53363928,20230227,F,60대,제주도,300만원 미만,약간 더 적게,비슷하게,훨씬 더 적게
53363932,20230227,F,20대,경기도,300이상500만원 미만,훨씬 더 적게,훨씬 더 적게,훨씬 더 적게
53364174,20230227,F,20대,경기도,300이상500만원 미만,약간 더 많이,훨씬 더 적게,약간 더 많이
53364296,20230227,M,60대,대구광역시,300만원 미만,비슷하게,비슷하게,비슷하게
